Species,Year,Stock_SMART_Total_Catch_mt,Comlandr_Landings_mt,Comlandr_Discards_mt,Comlandr_Total_Com_mt,Difference_mt,Percent_Diff
Black Sea Bass,2006,3618.5,1285.4,2760.9,4046.4,-427.9,-11.8
Black Sea Bass,1989,4833.3,1104.5,5307.8,6412.3,-1579,-32.7
Black Sea Bass,1985,1229,1074.8,1907.4,2982.2,-1753.2,-142.7
Black Sea Bass,2001,5561.9,1331,6228.2,7559.2,-1997.3,-35.9
Black Sea Bass,1988,1732.3,1424.1,2389.5,3813.6,-2081.3,-120.1
Black Sea Bass,1996,6237.8,1450.1,6917.3,8367.4,-2129.6,-34.1
Black Sea Bass,1986,915.7,1508.5,1838,3346.5,-2430.8,-265.5
Black Sea Bass,1987,1116.9,1635.3,1976.1,3611.5,-2494.5,-223.3
Black Sea Bass,1992,4099.9,1264.3,5393.6,6657.9,-2558,-62.4
Black Sea Bass,2009,4478.8,533.3,6992.3,7525.5,-3046.8,-68
Black Sea Bass,1990,4326,1401.6,6306.7,7708.3,-3382.2,-78.2
Black Sea Bass,1997,4976,1202.4,7285.6,8488,-3512,-70.6
Black Sea Bass,1995,4140,889.1,7043,7932,-3792,-91.6
Black Sea Bass,1994,3437.5,848.3,6642,7490.3,-4052.8,-117.9
Black Sea Bass,1993,4691.4,1352.6,7930.6,9283.2,-4591.8,-97.9
Black Sea Bass,1998,2805.9,1182.7,7086.2,8268.9,-5463,-194.7
Black Sea Bass,2011,3451.3,766,8415.7,9181.7,-5730.4,-166
Black Sea Bass,2004,4746.2,1406.5,134565.3,135971.8,-131225.6,-2764.8
Butterfish,2017,4629,3680.9,1797,5477.9,-848.9,-18.3
Butterfish,2004,2027,519.9,2359.5,2879.4,-852.4,-42.1
Butterfish,2013,1532,1091.1,1302,2393.1,-861.1,-56.2
Butterfish,1995,3678,2066.9,2478.7,4545.6,-867.6,-23.6
Butterfish,2016,2731,1193.7,2433.2,3626.9,-895.9,-32.8
Butterfish,2010,1317,575.6,1828.2,2403.8,-1086.8,-82.5
Butterfish,2012,1636,639.6,2100.5,2740.1,-1104.1,-67.5
Butterfish,2014,4189,3135,2168.5,5303.5,-1114.5,-26.6
Butterfish,2019,5085,3430.9,2965.1,6396,-1311,-25.8
Butterfish,2018,3061,1673.3,2834.8,4508.1,-1447.1,-47.3
Butterfish,1993,9978,4608.2,6956.9,11565.1,-1587.1,-15.9
Butterfish,2015,2934,2103.6,2503.5,4607.1,-1673.1,-57
Butterfish,1990,3414,2298.4,2982.1,5280.5,-1866.5,-54.7
Butterfish,2023,4410,1833.3,4568.4,6401.7,-1991.7,-45.2
Butterfish,2008,1428,451.4,3296.8,3748.1,-2320.1,-162.5
Butterfish,2000,5024,1449.1,6379.7,7828.7,-2804.7,-55.8
Butterfish,2020,4977,2509.3,5820.4,8329.7,-3352.7,-67.4
Butterfish,2021,3321,1554.8,5120,6674.8,-3353.8,-101
Butterfish,1992,7671,2754.3,8339.8,11094.1,-3423.1,-44.6
Butterfish,1989,4635,3203.2,4939.1,8142.3,-3507.3,-75.7
Butterfish,1999,12288,2110.1,15326.9,17437,-5149,-41.9
Butterfish,1997,3582,2794.5,6150.2,8944.7,-5362.7,-149.7
Butterfish,1991,4496,2188.9,7775.5,9964.3,-5468.3,-121.6
Butterfish,2022,4486,717.7,9514.9,10232.6,-5746.6,-128.1
Butterfish,2009,1285,434.5,7327.8,7762.3,-6477.3,-504.1
Butterfish,2011,2146,663.6,8659,9322.6,-7176.6,-334.4
Butterfish,2006,1447,553.9,9248.1,9802,-8355,-577.4
Butterfish,2007,883,677.9,9501.1,10179,-9296,-1052.8
Butterfish,1994,8315,3634.5,18722.1,22356.6,-14041.6,-168.9
Butterfish,2003,3152,535.9,20940,21475.9,-18323.9,-581.3
Butterfish,1998,6468,1966,27349.5,29315.5,-22847.5,-353.2
Butterfish,1996,4949,3554.6,31326.3,34880.9,-29931.9,-604.8
Goosefish,1990,13420,12984,851.5,13835.4,-415.4,-3.1
Goosefish,2020,11197,8151.9,4205.8,12357.8,-1160.8,-10.4
Haddock,1994,5012.7,328.8,22850.3,23179,-18166.3,-362.4
Ocean Pout,2021,61,0,63.2,63.2,-2.2,-3.6
Ocean Pout,2004,286,5.4,288.4,293.9,-7.9,-2.7
Ocean Pout,2018,41,0.1,58.4,58.5,-17.5,-42.6
Ocean Pout,1996,589,51.2,557.9,609.1,-20.1,-3.4
Ocean Pout,2017,42,0,65.6,65.7,-23.7,-56.3
Ocean Pout,2013,68,0,94.6,94.7,-26.7,-39.2
Ocean Pout,2012,94,0,153.3,153.3,-59.3,-63.1
Ocean Pout,2016,49,0.1,130.5,130.6,-81.6,-166.6
Ocean Pout,2003,438,25.6,500.1,525.7,-87.7,-20
Ocean Pout,2007,167,3.5,262.3,265.8,-98.8,-59.1
Ocean Pout,2009,168,3.2,274.2,277.3,-109.3,-65.1
Ocean Pout,2008,126,7.2,234.4,241.6,-115.6,-91.8
Ocean Pout,2005,201,3.6,319.9,323.5,-122.5,-61
Ocean Pout,2015,63,0.1,185.5,185.6,-122.6,-194.6
Ocean Pout,2011,77,0.4,199.6,199.9,-122.9,-159.6
Ocean Pout,2010,126,0.3,256.9,257.2,-131.2,-104.1
Ocean Pout,2014,74,0.2,335.1,335.3,-261.3,-353.1
Ocean Pout,2020,18,0,292.8,292.8,-274.8,-1526.5
Ocean Pout,1994,805,196.4,957.8,1154.2,-349.2,-43.4
Ocean Pout,1989,7799,1313.9,6904.6,8218.4,-419.4,-5.4
Ocean Pout,1999,498,18.3,916.3,934.5,-436.5,-87.7
Ocean Pout,2019,79,0,1027.5,1027.5,-948.5,-1200.7
Ocean Pout,2000,338,18.7,1345.1,1363.7,-1025.7,-303.5
Pollock,1990,10213,9558.6,796.9,10355.4,-142.4,-1.4
Pollock,1993,6197,5674,1098.6,6772.6,-575.6,-9.3
Red Hake,2005,1628,429.6,1227.4,1657.1,-29.1,-1.8
Red Hake,2009,2112,613.3,1537.9,2151.1,-39.1,-1.9
Red Hake,2004,1409,670.4,999.1,1669.5,-260.5,-18.5
Red Hake,2006,1369,452.5,1209.6,1662.2,-293.2,-21.4
Red Hake,1996,2298,1094.1,1618.1,2712.2,-414.2,-18
Red Hake,2022,1399,177.2,1689,1866.1,-467.1,-33.4
Red Hake,2002,1350,907.5,1001.3,1908.8,-558.8,-41.4
Red Hake,2000,7121,1589.2,6110,7699.2,-578.2,-8.1
Red Hake,2010,1824,603.4,2169.2,2772.6,-948.6,-52
Red Hake,2003,1267,808.3,1446.4,2254.7,-987.7,-78
Red Hake,1991,5356,1668.1,5017.1,6685.3,-1329.3,-24.8
Red Hake,2014,1497,617.4,2212.6,2830,-1333,-89
Red Hake,2017,1092,393.6,2082,2475.7,-1383.7,-126.7
Red Hake,1988,6710,1732.6,6625.9,8358.5,-1648.5,-24.6
Red Hake,2011,1927,594.6,3207.9,3802.5,-1875.5,-97.3
Red Hake,1987,6768,1956.4,6871.5,8827.9,-2059.9,-30.4
Red Hake,2015,1681,470.8,3682,4152.8,-2471.8,-147
Red Hake,1986,6951,2103.4,7444.7,9548.1,-2597.1,-37.4
Red Hake,2012,1905,828.1,3758.9,4586.9,-2681.9,-140.8
Red Hake,2016,2014,490.4,4344.9,4835.3,-2821.3,-140.1
Red Hake,1985,6073,1704.5,7425.5,9130,-3057,-50.3
Red Hake,1995,3103,1599.5,5146.4,6745.9,-3642.9,-117.4
Red Hake,2013,1410,517.2,4687.9,5205.1,-3795.1,-269.2
Red Hake,1990,8020,1624.1,11208.8,12832.9,-4812.9,-60
Red Hake,1997,3970,1321,7575.2,8896.2,-4926.2,-124.1
Red Hake,1989,10543,1707.4,13769.1,15476.5,-4933.5,-46.8
Red Hake,1992,9817,2162.8,12666.4,14829.2,-5012.2,-51.1
Red Hake,2007,1975,511.8,6975.9,7487.7,-5512.7,-279.1
Red Hake,2019,2263,448.1,8764.3,9212.4,-6949.4,-307.1
Red Hake,1998,6865,1327,25341.1,26668.1,-19803.1,-288.5
Scup,1995,5115,3062.1,2465.1,5527.2,-412.2,-8.1
Scup,1992,12495,6132,11474.7,17606.7,-5111.7,-40.9
Scup,1998,3485,1895.9,10124.8,12020.7,-8535.7,-244.9
Sea Scallop,1997,6233,6234.9,272.9,6507.9,-274.9,-4.4
Sea Scallop,1987,14109,13104,1362.5,14466.5,-357.5,-2.5
Sea Scallop,2014,15343,15347.8,438.7,15786.6,-443.6,-2.9
Sea Scallop,1996,7886,7887.4,451.9,8339.3,-453.3,-5.7
Sea Scallop,1991,17288,17173.2,672,17845.2,-557.2,-3.2
Sea Scallop,1998,5564,5564.8,603.2,6168,-604,-10.9
Sea Scallop,1986,8631,8190.2,1079.4,9269.6,-638.6,-7.4
Sea Scallop,1988,13666,12825.9,1499,14324.9,-658.9,-4.8
Sea Scallop,2013,18664,18663.4,717.7,19381.1,-717.1,-3.8
Sea Scallop,1993,7327,7361.5,764.2,8125.7,-798.7,-10.9
Sea Scallop,2007,26593,26544.4,861.1,27405.5,-812.5,-3.1
Sea Scallop,2015,16207,16206.7,907.1,17113.8,-906.8,-5.6
Sea Scallop,1985,6677,6692.2,1011.8,7704,-1027,-15.4
Sea Scallop,1999,10118,10119.1,1143.7,11262.8,-1144.8,-11.3
Sea Scallop,1992,14221,14244.6,1156.9,15401.5,-1180.5,-8.3
Sea Scallop,2011,26653,26652.6,1265.6,27918.2,-1265.2,-4.7
Sea Scallop,1995,7992,7994.2,1385,9379.3,-1387.3,-17.4
Sea Scallop,1990,17587,17245.8,1743,18988.8,-1401.8,-8
Sea Scallop,2012,25915,25915,1459.7,27374.6,-1459.6,-5.6
Sea Scallop,2008,24273,24215.2,1603.1,25818.3,-1545.3,-6.4
Sea Scallop,2018,26443,26443.1,1568.8,28012,-1569,-5.9
Sea Scallop,2006,26732,26734.2,1616.1,28350.3,-1618.3,-6.1
Sea Scallop,2017,23458,23463.9,1732.4,25196.4,-1738.4,-7.4
Sea Scallop,2010,25927,25897.8,1787.6,27685.4,-1758.4,-6.8
Sea Scallop,2005,25693,25691.5,1884.3,27575.8,-1882.8,-7.3
Sea Scallop,1994,7599,7611.2,1880.8,9492,-1893,-24.9
Sea Scallop,2019,27647,27649.5,1923.5,29573,-1926,-7
Sea Scallop,2009,26129,26174.8,2145.3,28320.1,-2191.1,-8.4
Sea Scallop,2016,18439,18439.8,2688.6,21128.4,-2689.4,-14.6
Sea Scallop,2002,23891,23891.6,2877.3,26768.8,-2877.8,-12
Sea Scallop,2003,25417,25418.8,3198.2,28617,-3200,-12.6
Sea Scallop,2000,14621,14622.7,3280.8,17903.5,-3282.5,-22.5
Sea Scallop,1989,14876,14612.5,3762.3,18374.8,-3498.8,-23.5
Sea Scallop,2004,28997,29109.2,3699.1,32808.3,-3811.3,-13.1
Sea Scallop,2001,21054,21055.1,5722.6,26777.7,-5723.7,-27.2
Skate Complex,2010,48764.7,17798.9,31986.1,49785,-1020.3,-2.1
Skate Complex,2007,55257.2,19135.8,37330.9,56466.7,-1209.5,-2.2
Skate Complex,1995,42849.8,7217,39921.6,47138.6,-4288.8,-10
Skate Complex,1985,28716.4,763.3,32291.8,33055.1,-4338.7,-15.1
Skate Complex,2003,52029.5,15004.6,42792.5,57797.2,-5767.6,-11.1
Skate Complex,2005,53663.1,14112.8,46138.2,60251,-6587.9,-12.3
Skate Complex,1992,53912.6,12525,53055,65580.1,-11667.4,-21.6
Skate Complex,1993,43163.1,12903.8,43432.8,56336.6,-13173.5,-30.5
Skate Complex,1989,37045.3,6707.2,53045.7,59752.9,-22707.7,-61.3
Skate Complex,1991,45458.9,11332.1,58592.1,69924.1,-24465.2,-53.8
Skate Complex,1994,46118.8,8783.1,73458.3,82241.5,-36122.7,-78.3
Skate Complex,1990,48997.1,11402.3,104455.6,115857.9,-66860.9,-136.5
Swordfish,2012,9910,1755.6,9331,11086.7,-1176.7,-11.9
Swordfish,1993,20722,1533.3,21582.4,23115.7,-2393.7,-11.6
White Hake,2019,2030,1976.1,59.6,2035.6,-5.6,-0.3
White Hake,2018,2046,2009.3,46.2,2055.5,-9.5,-0.5
White Hake,1998,2768,2366,427.1,2793.1,-25.1,-0.9
White Hake,2020,2122,1990.7,187.7,2178.5,-56.5,-2.7
White Hake,2023,2009,1955.2,138,2093.3,-84.3,-4.2
White Hake,2015,1681,1515.3,254.6,1769.9,-88.9,-5.3
White Hake,1999,3347,2620.8,819.9,3440.7,-93.7,-2.8
White Hake,2017,2040,2023.8,133,2156.8,-116.8,-5.7
White Hake,2021,1947,1867.4,221.2,2088.6,-141.6,-7.3
White Hake,2006,1870,1700.4,325.6,2026,-156,-8.3
White Hake,2001,4061,3481.5,763,4244.5,-183.5,-4.5
White Hake,2003,4824,4434.5,631.1,5065.6,-241.6,-5
White Hake,2012,2981,2770,486.2,3256.1,-275.1,-9.2
White Hake,2010,2014,1807.6,481.9,2289.5,-275.5,-13.7
White Hake,2002,3539,3266,674.2,3940.2,-401.2,-11.3
White Hake,2014,1959,1869.6,525.3,2394.9,-435.9,-22.2
White Hake,2004,3726,3510.5,663.3,4173.8,-447.8,-12
White Hake,2005,2860,2670.3,669.9,3340.1,-480.1,-16.8
White Hake,2009,1862,1696.6,648.8,2345.4,-483.4,-26
White Hake,1990,7573,4928.7,3157.1,8085.8,-512.8,-6.8
White Hake,2011,3029,2897.3,781.7,3679,-650,-21.5
White Hake,2016,1426,1369.3,803.5,2172.8,-746.8,-52.4
White Hake,1989,6846,4552.7,3067.7,7620.5,-774.5,-11.3
White Hake,2008,1617,1332.8,1072.4,2405.2,-788.2,-48.7
White Hake,2013,2316,2234.8,1645.3,3880.1,-1564.1,-67.5
White Hake,1991,6763,5607.3,8742.1,14349.4,-7586.4,-112.2
Winter Flounder,2020,690.6,493.4,222.8,716.2,-25.6,-3.7
Winter Flounder,2022,390.4,315.6,238.4,554,-163.6,-41.9
Winter Flounder,2019,824.4,584.5,435.9,1020.4,-196,-23.8
Winter Flounder,2021,681.7,451.2,452.9,904.1,-222.4,-32.6
Winter Flounder,2010,2259.6,1565.3,941,2506.3,-246.7,-10.9
